sei_recd,dead_lithium,crate,slope1,slope2,checkpoint
2.4e-07,0.0001,4.8,-103.26266095719294,-112.0641117840826,500
1.2e-07,0.001,4.8,-51.67628924109824,-323.46240581115904,600
2.4e-07,0.00075,4.2,-103.29123168286714,-196.89735381316353,600
1.8e-07,0.0001,4.5,-77.47514581004644,-102.6560773378149,400
1.2e-07,0.00025,4.8,-51.67628924109824,-153.3413622548219,400
2.4e-07,0.0005,4.2,-103.29123168286714,-162.70620872904652,600
3e-07,0.0001,4.5,-129.00087188651986,-129.1438548358226,500
1.8e-07,0.00025,4.8,-77.4610724164404,-129.8599836149883,500
1.2e-07,0.0001,4.5,-51.685386287081414,-84.24309748003012,500
3e-07,0.00025,4.8,-128.96100877148874,-160.56757818307955,400
2.4e-07,0.001,4.5,-103.293724847231,-230.73586085662345,600
1.8e-07,0.001,4.5,-77.47514581004644,-346.8292818213925,400
2.4e-07,0.00025,4.8,-103.26266095719294,-121.08310476823812,700
1.2e-07,0.0005,4.2,-51.709895249718585,-215.67725380158276,500
3e-07,0.001,4.5,-129.00087188651986,-247.2171505675247,500
1.8e-07,0.0005,4.2,-77.53283074687367,-213.22584705245615,400
3e-07,0.0005,4.2,-129.00111642497603,-182.0859966402688,500
1.2e-07,0.001,4.5,-51.685386287081414,-373.4570144753758,500
2.4e-07,0.0001,4.5,-103.293724847231,-107.26841642225703,600
3e-07,0.0001,4.8,-128.96100877148874,-123.93520604130347,600
1.2e-07,0.00025,4.5,-51.685386287081414,-110.24022212100526,700
3e-07,0.00075,4.2,-129.00111642497603,-214.76551314314472,500
1.8e-07,0.00075,4.2,-77.53283074687367,-280.64278258461695,400
1.8e-07,0.0001,4.8,-77.4610724164404,-87.50332091911339,700
2.4e-07,0.001,4.8,-103.26266095719294,-260.8162078186371,500
3e-07,0.00025,4.5,-129.00087188651986,-133.40112418047667,700
1.2e-07,0.00075,4.2,-51.709895249718585,-295.4289517011821,500
1.2e-07,0.0001,4.8,-51.67628924109824,-78.45175659404458,600
1.8e-07,0.00025,4.5,-77.47514581004644,-119.4538361002806,600
1.8e-07,0.001,4.8,-77.4610724164404,-346.85297866485774,400
3e-07,0.001,4.8,-128.96100877148874,-247.1561257113786,500
2.4e-07,0.00025,4.5,-103.293724847231,-121.12889359423562,700
2.4e-07,0.0001,4.8,-103.26266095719294,-107.26107518634898,600
1.2e-07,0.001,4.8,-51.67628924109824,-373.48547938229615,500
2.4e-07,0.00075,4.2,-103.29123168286714,-220.06072818983031,500
1.2e-07,0.00025,4.8,-51.67628924109824,-110.25385114729058,700
2.4e-07,0.0005,4.2,-103.29123168286714,-178.93703092721756,500
3e-07,0.0001,4.5,-129.00087188651986,-123.95988587976524,600
1.8e-07,0.0001,4.5,-77.47514581004644,-87.49466683781738,700
1.2e-07,0.0001,4.5,-51.685386287081414,-78.45453201937858,600
3e-07,0.00025,4.8,-128.96100877148874,-133.4216164758706,700
2.4e-07,0.001,4.5,-103.293724847231,-260.7545863290373,500
1.8e-07,0.00025,4.8,-77.4610724164404,-119.42409970480128,600
1.8e-07,0.00025,4.2,-77.53283074687367,-119.45462721116851,600
3e-07,0.00025,4.2,-129.00111642497603,-133.39570419128586,700
1.2e-07,0.00075,4.5,-51.685386287081414,-295.4121736032045,500
1.8e-07,0.00075,4.5,-77.47514581004644,-280.6314952262578,400
2.4e-07,0.0005,4.8,-103.26266095719294,-178.9199201806868,500
1.2e-07,0.00025,4.2,-51.709895249718585,-110.22642567404262,700
3e-07,0.00075,4.5,-129.00087188651986,-214.81227580382176,500
2.4e-07,0.00075,4.8,-103.26266095719294,-220.10894093065224,500
3e-07,0.0005,4.5,-129.00087188651986,-182.11330721964455,500
1.2e-07,0.001,4.2,-51.709895249718585,-373.4768232599217,500
